[0	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999317238591432] 
[1	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999082470780086] 
[2	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99896497924937] 
[3	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999339645619067] 
[4	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99911965627393] 
[5	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999833104513371] 
[6	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99935247962014] 
[7	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999302323840523] 
[8	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999719825727876] 
[9	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999626498451255] 
[10	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99969596962228] 
[11	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999464026849237] 
[12	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999275686432396] 
[13	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99920912197503] 
[14	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999659941654679] 
[15	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999062049432029] 
[16	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999095691277862] 
[17	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99942605633324] 
[18	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999182776106522] 
[19	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999377772245898] 
[20	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99946693947959] 
[21	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999495860558621] 
[22	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999466911945007] 
[23	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99931145263517] 
[24	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999680002097094] 
[25	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999064120212847] 
[26	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999427030334006] 
[27	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999002477209284] 
[28	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999010065248848] 
[29	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999341019134452] 
[30	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.998803859091515] 
[31	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999725737776515] 
[32	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99922592756317] 
[33	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99950755999101] 
[34	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99971572277611] 
[35	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999352231999062] 
[36	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.998886330879687] 
[37	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999001338623547] 
[38	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999204514045601] 
[39	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999821784802858] 
[40	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999405020349538] 
[41	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.998987504316682] 
[42	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999258617194899] 
[43	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999564667000342] 
[44	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.998844280382398] 
[45	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999268872706736] 
[46	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999385634590501] 
[47	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.998951425792322] 
[48	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999341690703966] 
[49	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.9991090195421] 
[50	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.99951143583492] 
[51	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999310302150665] 
[52	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999419416242363] 
[53	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999414603184476] 
[54	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999434236515084] 
[55	[8, 11, 2.299211234992442, 75, 43, 33, 0.693985300233017, 12]	9.999044366403087] 
